id,img,label_true,text,prob_pred,label_pred,classification,description,modality_type,error
57823,img/57823.png,0,"bitches be like no weave, no makeup, no lashes, no eyebrows & no filter. all natural",0.15,0,non-hateful,"The meme contains a profanity and critiques the behavior of women ('bitches') regarding beauty standards and the definition of 'natural'. While the term used is derogatory and the sentiment is cynical, the target group ('bitches') is used in the context of a social observation about behavior rather than a protected characteristic like race, religion, or nationality. The content does not incite violence, promote dehumanization, or call for exclusion based on protected characteristics. Therefore, despite being offensive and misogynistic in tone, it does not meet the specific definition of hate speech provided.",,
80947,img/80947.png,1,my new muslim girlfriend not much to look at,0.9,1,hateful,"The meme uses a visual pun comparing a woman wearing a full-body covering (abaya/niqab) to a large, unappealing object covered by a tarp. The text 'not much to look at' implies that the individual is unattractive or worthless due to her religious dress. This targets a protected group (Muslims) based on religion by making a derogatory, humiliating statement about their appearance and dignity.",,
30145,img/30145.png,0,"before my presidency, there was no isis. there was no caliphate there was no blm. there was no antifa. there was no war on police i built that",0.99,1,non-hateful,"The meme is a political satire criticizing the presidency of Barack Obama by ironically attributing various social and geopolitical issues (ISIS, BLM, Antifa) to his administration. While the content is offensive, sarcastic, and negative towards a public figure, it does not attack a protected group based on characteristics such as race, religion, or ethnicity, nor does it dehumanize, threaten, or endorse harm against such groups. Therefore, it does not meet the definition of hate speech.",,
80243,img/80243.png,1,mississippi wind chime,0.99,1,hateful,"The meme combines a historical image of a lynching with the text 'mississippi wind chime,' which is a known racist euphemism for the lynching of Black people. This content trivializes racial violence and mocks a hate crime targeting a protected group based on race.",,
3217,img/03217.png,0,"they are like sperm you get millions, but only one works",0.01,0,non-hateful,"The meme uses a crude biological analogy involving 'sperm' to describe the generation of ideas. While the language is vulgar and slightly offensive, it is used for shock value humor and does not attack, dehumanize, or target any protected group based on characteristics such as race, religion, or sexual orientation.",,
9715,img/09715.png,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,0.98,1,hateful,"The meme contains a joke describing the sale of disguised landmines that target 'prophets'. This constitutes a threat of violence against a religious group, which is a protected characteristic.",,
52079,img/52079.png,0,just bought a house! now we're house-poor,0.01,0,non-hateful,"The meme expresses self-deprecating humor about the financial burden of purchasing a home ('house-poor'). It does not contain any attacks, dehumanizing language, or exclusion based on protected characteristics such as race, religion, or gender.",,
9467,img/09467.png,1,when mom asks where all the jews went,1.0,1,hateful,"The meme uses an image of Adolf Hitler to frame a question about the Holocaust ('where all the jews went') as a joke. By trivializing the genocide of Jewish people and associating a known perpetrator of hate crimes with humor, it endorses and mocks a historical crime against a protected group based on ethnicity and religion.",,
84756,img/84756.png,1,when you ask the kid that misses class a lot why he is bald and he starts crying all right. then keep vour secrets,0.99,1,non-hateful,"The meme makes a joke about a student's baldness and attendance record. It does not attack, dehumanize, or exclude any group based on protected characteristics such as race, religion, or disability.",,
38914,img/38914.png,0,cotton candy is what makes the theme park wonderful,0.01,0,non-hateful,"The meme features a joyful image of a child eating cotton candy with a caption expressing a wholesome love for theme parks. The tone is purely positive and celebratory of a common childhood experience, lacking any humor, sarcasm, or offensive content.",,
