id,img,label_true,text,prob_pred,label_pred,classification,description,modality_type,error
57823,img/57823.png,0,"bitches be like no weave, no makeup, no lashes, no eyebrows & no filter. all natural",0.9,1,hateful,"The meme uses the racial slur 'bitches' to attack Black women based on their race and gender. It frames the absence of specific beauty enhancements associated with Black culture (weave, lashes) as the reason for being 'all natural,' effectively mocking and dehumanizing a protected group.",,
80947,img/80947.png,1,my new muslim girlfriend not much to look at,0.95,1,hateful,"The meme compares a person of the Muslim faith to a giant garbage bag, using dehumanizing imagery to attack them based on their religion. The text 'not much to look at' reinforces a derogatory statement of inferiority.",,
30145,img/30145.png,0,"before my presidency, there was no isis. there was no caliphate there was no blm. there was no antifa. there was no war on police i built that",0.1,0,non-hateful,"The meme uses a satirical format ('I built that') to attribute the emergence of ISIS, the Caliphate, BLM, Antifa, and conflicts involving police to the US President. While the text references groups associated with protected characteristics or social movements, it functions as political commentary and satire rather than a direct attack on a group based on identity. It does not employ slurs, call for violence or exclusion, or dehumanize any specific protected group. The targets are political movements or foreign geopolitical entities.",,
80243,img/80243.png,1,mississippi wind chime,0.98,1,hateful,"The image depicts a historical lynching, and the text 'mississippi wind chime' serves as a dark pun on the victims' dangling bodies. This trivializes the murder of African Americans and mocks a hate crime, evoking pain from historical violence against a racial group.",,
3217,img/03217.png,0,"they are like sperm you get millions, but only one works",0.01,0,non-hateful,"The meme contains crude language comparing ideas to 'sperm,' but it does not attack, dehumanize, or express inferiority toward any group based on protected characteristics such as race, religion, gender identity, or disability. It is a humorous observation about the quantity versus quality of ideas.",,
9715,img/09715.png,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,0.95,1,hateful,"The meme features a dog image with text making a joke about selling 'landmines disguised as prayer mats,' causing 'prophets' to suffer. This content explicitly targets Muslims by mocking their religious artifacts (prayer mats) and religious leaders (prophets) and implies a violent act against them. This constitutes an attack on a group based on religion through incitement to violence and mockery of religious practices.",,
52079,img/52079.png,0,just bought a house! now we're house-poor,0.0,0,non-hateful,"The meme depicts a couple celebrating the purchase of a home, using the term 'house-poor' to humorously describe the financial burden of homeownership. There is no content attacking any group based on protected characteristics, nor does it promote hate speech.",,
9467,img/09467.png,1,when mom asks where all the jews went,0.98,1,hateful,"The meme combines an image of Adolf Hitler and Benito Mussolini with text referencing the Holocaust ('where all the jews went'). By using historical figures associated with genocide to make light of the murder of Jewish people, the meme evokes pain and trivializes a hate crime based on ethnicity and religion.",,
84756,img/84756.png,1,when you ask the kid that misses class a lot why he is bald and he starts crying all right. then keep vour secrets,0.01,0,non-hateful,"The meme depicts a reaction image of a man smiling with the text 'all right. then keep your secrets.' The context provided in the caption is a scenario involving a student who is bald and misses class. There is no attack on any protected group, no slurs, no dehumanizing language, and no promotion of violence or exclusion. It is a generic internet meme used to express dismissiveness or feigned acceptance.",,
38914,img/38914.png,0,cotton candy is what makes the theme park wonderful,0.0,0,non-hateful,"The meme depicts a young boy eating cotton candy at a fair with the text 'cotton candy is what makes the theme park wonderful.' There are no attacks on protected groups, slurs, or hateful implications in either the text or the visual content.",,
50198,img/50198.png,0,you don't need cocaine to be happy,0.98,1,hateful,"The meme features an image of drugs alongside a photo of a person with Down syndrome, accompanied by text stating 'you don't need cocaine to be happy.' This constitutes hateful speech as it targets an individual based on disability, using the juxtaposition to mock and dehumanize people with Down syndrome by implying a lack of capacity for happiness or normalcy.",,
78612,img/78612.png,0,go see fifty shades darker in theaters alone and throw mayonnaise at couples in the dark,0.0,0,non-hateful,"The meme features actor Kevin Spacey with text advising viewers to go see a movie alone and throw mayonnaise at couples. This is a humorous commentary on romantic clichés and public displays of affection in cinema. It does not target any group based on ethnicity, race, religion, gender identity, or other protected characteristics, nor does it promote violence against a specific demographic.",,
54206,img/54206.png,0,you can smell disgust and hate from this photo,0.05,0,non-hateful,"The meme features a historical photograph depicting a human body being burned in an oven, accompanied by text claiming 'you can smell disgust and hate from this photo'. While the image depicts a horrific and grotesque event involving death, it does not contain slurs, conspiracy theories, or dehumanizing rhetoric targeting any specific protected group (such as race, religion, or gender). It is an aesthetic expression of revulsion toward the scene itself rather than a hateful attack or incitement against a demographic group.",,
65403,img/65403.png,1,money is evil give it to us,0.05,0,non-hateful,"The meme depicts a Catholic mass with the text 'money is evil give it to us'. This serves as a satirical commentary on perceived hypocrisy or materialism within the Catholic Church. It does not contain slurs, calls for violence, or statements of inferiority against a protected group based on religion, race, or other characteristics. Therefore, it does not meet the criteria for hate speech.",,
86170,img/86170.png,1,how to keep the thefts out,0.98,1,hateful,"The image depicts members of the Ku Klux Klan, a hate group historically responsible for racial terrorism and genocide. The text 'how to keep the thefts out' implies that theft or crime is an inherent trait of a specific group (historically African Americans) that must be kept out by this hate group, dehumanizing them and calling for segregation.",,
37420,img/37420.png,0,like lebanon terrorism can destroy a beautiful country,0.75,1,hateful,"The meme claims that 'Lebanon terrorism can destroy a beautiful country,' using an image of destruction. It generalizes the conflict to the nation's identity, suggesting a collective responsibility of Lebanese people (nationality) for the violence ('terrorism') and implying that this behavior is inherent enough to define the country as a 'beautiful country' waiting to be destroyed. This creates a causal link between a national group and terrorism, fitting the criteria of attacking people based on nationality/national origin.",,
85237,img/85237.png,0,these are all the weapons that were seized from isis,0.01,0,non-hateful,"The meme displays an image of seized weapons with the caption 'these are all the weapons that were seized from isis.' The text references a designated terrorist organization in the context of military counter-terrorism efforts. It does not contain slurs, attacks on protected characteristics, or calls for exclusion against any group.",,
83264,img/83264.png,1,randomly deciding to bake something,0.98,1,hateful,"The meme uses a historical image of Adolf Hitler (a figure directly linked to the Holocaust and the genocide of millions) juxtaposed with the phrase 'randomly deciding to bake something.' This implies that the act of baking is comparable to Hitler's genocidal atrocities, evoking pain from historical figures and trivializing genocide, which aligns with the definition of hateful content (Example 13).",,
6582,img/06582.png,1,they are terrorists anyone who doesn't agree is an idiot,0.99,1,hateful,"The meme features an image of Muslims praying with the text labeling them as 'terrorists.' This is a direct attack on people based on their religion, employing a harmful generalization that dehumanizes and vilifies the Muslim faith. The second line ('anyone who doesn't agree is an idiot') reinforces this hateful stance by attacking those who reject this discriminatory view.",,
13026,img/13026.png,1,under the name of multiculturalism we let terrorist into this country,0.95,1,hateful,"The meme combines an image of a woman wearing a hijab with text claiming that under 'multiculturalism we let terrorist into this country.' This attacks people based on religion and cultural background by associating them collectively with terrorism, which is a form of dehumanization and implies a call for exclusion/segregation.",,
59206,img/59206.png,0,traveling through chimney,0.0,0,non-hateful,"The image displays Santa Claus in a parade float, and the text 'traveling through chimney' refers to a common Christmas folklore trope. There are no attacks on protected groups, slurs, or dehumanizing language present.",,
63827,img/63827.png,1,teacher of the year for black community,0.99,1,hateful,"The image displays a hangman's noose, a symbol associated with lynching and extrajudicial execution, specifically linked to the history of racial violence against Black people in the United States. The text 'teacher of the year for black community' juxtaposes this symbol with a Black person (implied by the demographic 'black community'), creating a direct threat of lynching or calling for the death of a Black teacher based on their race. This falls under incitement to violence and dehumanizing speech.",,
13809,img/13809.png,1,doing o's with the smoke,0.95,1,hateful,"The image shows a crematorium building (specifically at Auschwitz), a site of genocide and mass murder. The text uses a vulgar sexual phrase juxtaposed with the site, which serves as a trivialization and mockery of the Holocaust and the victims who were murdered there. This constitutes historical hate by celebrating or mocking genocide.",,
98543,img/98543.png,1,upper downer,0.85,1,hateful,"The meme is a pun based on the visual pun of 'upper' (cocaine lines) and 'downer' (a man who appears to have Down syndrome). It uses a person's disability (Down syndrome) as the punchline of a joke, which constitutes mockery and dehumanization of people with disabilities. This aligns with the definition of hate speech as mocking or attacking people based on disability.",,
17028,img/17028.png,1,"feeling bored, let's go to a mosque",0.95,1,hateful,"The meme juxtaposes a couple loading guns (implying violence or vigilante action) with the text 'let's go to a mosque.' This constitutes hate speech because it creates an implicit call for violence against a religious group and their place of worship, suggesting that Muslims are targets for armed aggression.",,
91756,img/91756.png,1,abnormal vs normal,0.85,1,hateful,"The text 'abnormal vs normal' juxtaposes a woman wearing a hijab with a woman who is not, labeling the former as 'abnormal.' This constitutes a hateful attack based on religion by framing Islamic headwear as deviant, 'othering' Muslim women, and implying a statement of inferiority relative to the 'normal' standard.",,
3567,img/03567.png,1,potato is my favorite color of the alphabet,0.0,0,non-hateful,"The meme uses absurd humor by claiming 'potato' is a color of the alphabet. It does not target any protected group based on ethnicity, race, religion, gender, or any other characteristic defined in the hate speech guidelines. It contains no attacks, slurs, or dehumanizing content.",,
12045,img/12045.png,0,learn to hunt. it's a valuable skill,0.01,0,non-hateful,"The meme features a child holding a rifle with text encouraging hunting as a skill. It does not contain slurs, attacks on protected groups, or dehumanizing language based on race, religion, gender, etc. It promotes a specific activity (hunting) without hate speech.",,
53046,img/53046.png,1,"you've heard of elf on a shelf, now get ready for",0.01,0,non-hateful,"The image shows a man posing with children and Winnie the Pooh characters. The text 'you've heard of elf on a shelf, now get ready for' is a playful setup referencing a common holiday game, likely followed by the man's name in the context of the photo. There is no hate speech, slur, or attack on any protected group.",,
52394,img/52394.png,0,i forgot what are we fighting over again?,0.05,0,non-hateful,"The image displays a scene of mob violence and bloodshed, but the text 'i forgot what are we fighting over again?' acts as an absurdist commentary on the futility of irrational conflict. It mocks the participants for their lack of purpose rather than attacking a specific protected group (race, religion, nationality, etc.) based on the provided definition. The meme generalizes 'senseless fighting' as a human behavior rather than promoting hate speech.",,
63175,img/63175.png,0,"if i was uncircumcised i'd hide candy in my dick skin so when a girl about to suck me up, she has a pleasant surprise.. oh my god, skittles",0.01,0,non-hateful,"The meme uses sexual humor and a reaction image of a woman making a face. The text describes a scenario involving male anatomy and oral sex. While crude and sexually explicit, the content does not contain slurs, dehumanizing language, or attacks on any protected group based on race, religion, gender, sexual orientation, or other characteristics defined in the hate speech policy.",,
62970,img/62970.png,0,if you want to know how they were treated illustration of man with four slaves chained together,0.85,1,hateful,"The meme depicts an illustration of Black enslaved people chained together, invoking the dehumanizing treatment during the Transatlantic Slave Trade. The text 'If you want to know how they were treated' functions as a hostile retort to opponents or critics. By using images of historical subjugation to demean or insult others, the content relies on evoking pain from historical figures and dehumanizing a racial group based on their history.",,
45062,img/45062.png,0,me and my kids are going to rob this country blind at the expense of the very people that voted for me. and they're going to love it. believe me! bigly!,0.0,0,non-hateful,"The meme features Donald Trump with text stating 'me and my kids are going to rob this country blind at the expense of the very people that voted for me.' This is a political satire mocking the subject's perceived dishonesty, financial conduct, and populist rhetoric. It does not attack any group based on protected characteristics like race, religion, or gender, nor does it promote violence or dehumanization against a specific demographic.",,
18356,img/18356.png,0,i took a shower this morning,0.05,0,non-hateful,"The meme uses a historically charged image of Adolf Hitler and Benito Mussolini, the leaders of Nazi Germany and Fascist Italy, which are central figures associated with genocide and totalitarianism. The text 'i took a shower this morning' creates an absurdist juxtaposition. While the image depicts historical figures responsible for massive human rights abuses, the text does not attack a protected group, use slurs, call for violence, or express approval of their ideologies. It does not target a specific ethnicity, religion, or nationality with hate speech. Therefore, it does not meet the definition of hate speech provided.",,
62375,img/62375.png,1,im not saying i'm racist im just saying all muslims are terrorists,1.0,1,hateful,"The meme uses a bait-and-switch format to express a hateful generalization. The text explicitly claims 'all muslims are terrorists,' which is a sweeping dehumanizing statement attacking a religious group based on their faith, associating them collectively with violence and criminality.",,
32579,img/32579.png,0,come to the dark side we have weed,0.0,0,non-hateful,"The meme references the Star Wars franchise and features Snoop Dogg, a public figure associated with cannabis culture, alongside Stormtroopers and Darth Vader. The text 'come to the dark side we have weed' is a humorous subversion of the famous movie line 'Join us, and I will complete your training,' replacing the canonical offer of power with marijuana. There is no attack on any protected group, no use of slurs, and no dehumanizing language.",,
1742,img/01742.png,0,in just one hour from now i'll only have 4 hours left until i have to work a mere 3 hours,0.0,0,non-hateful,"The meme features an image of a man relaxing in an office setting with text expressing humorous procrastination about the workday ending. There are no attacks, slurs, stereotypes, or dehumanizing elements targeting any protected group.",,
69815,img/69815.png,1,thank you for allowing me into your country now we need to talk about the things that need to change around here to accommodate my beliefs,0.9,1,hateful,"The meme depicts a Muslim man making an entitled demand for the host country to change its social norms to accommodate his religious beliefs. This content attacks a specific religious group by reinforcing harmful stereotypes about Muslims being anti-assimilationist, intolerant, and seeking to impose their ideology on others, thereby implying they are a negative influence on society.",,
7198,img/07198.png,1,islam is a religion of peace stop criticizing my religion,0.95,1,hateful,"The meme uses sarcasm and irony to attack Islam based on religion. By juxtaposing the phrase 'islam is a religion of peace' with an image of a soldier and a massive arsenal of weapons, it employs a 'show, don't tell' technique to imply the opposite—that Islam is inherently violent. This attacks a religious group by associating it with militarism and war, creating a hateful message through the synthesis of image and text.",,
83675,img/83675.png,0,i'm gonna be like phelps one day,0.01,0,non-hateful,"The meme features a Black swimmer with text expressing an aspiration to emulate Michael Phelps, a famous athlete. The image and text celebrate the individual's athletic goals without any slurs, stereotypes, or attacks on protected characteristics.",,
95604,img/95604.png,1,"they want to be accepted for who they are, yet theren't able to accept themselves for who they are",0.0,0,non-hateful,"The image features a drag queen and the text discusses the desire for acceptance versus self-acceptance. The message advocates for self-love and understanding of identity struggles, containing no attacks, slurs, or dehumanizing language based on protected characteristics.",,
