id,img,label_true,text,prob_pred,label_pred,classification,description,modality_type,error
57823,img/57823.png,0,"bitches be like no weave, no makeup, no lashes, no eyebrows & no filter. all natural",0.9,1,hateful,"The meme uses the word 'bitches,' a derogatory slur for women, to describe individuals who do not wear makeup or extensions. By using this offensive terminology, the meme attacks women based on their sex and appearance.",,
80947,img/80947.png,1,my new muslim girlfriend not much to look at,0.95,1,hateful,"The meme uses a derogatory double entendre to attack a person based on their religion. By referencing a 'Muslim girlfriend' in the context of a figure covered by a large black sheet (implying a niqab), the caption 'not much to look at' dehumanizes the individual and implies that Muslim women are unappealing or inferior due to their religious dress.",,
30145,img/30145.png,0,"before my presidency, there was no isis. there was no caliphate there was no blm. there was no antifa. there was no war on police i built that",0.95,1,hateful,"The meme depicts President Obama stating he 'built' ISIS, the Caliphate, BLM, Antifa, and the war on police. It falsely attributes the creation of violent terrorist organizations and extreme social movements to an individual based on his race and political office. This constitutes a hateful attack by spreading dehumanizing misinformation and racist conspiracy theories that blame a specific ethnic group for societal violence.",,
80243,img/80243.png,1,mississippi wind chime,1.0,1,hateful,"The text 'mississippi wind chime' is a known racist euphemism used to refer to the bodies of lynched African Americans hanging from trees. Combined with the image of a mob, it mocks racial terror and the murder of Black people.",,
3217,img/03217.png,0,"they are like sperm you get millions, but only one works",0.99,1,non-hateful,"The meme uses a biological analogy about reproduction and conception to explain the nature of generating ideas. It does not target or attack any protected group based on characteristics such as race, religion, gender, or disability. The comparison is metaphorical and does not contain dehumanizing or hateful speech.",,
9715,img/09715.png,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,0.95,1,hateful,"The meme makes a joke about selling landmines disguised as prayer mats, explicitly targeting people of a specific religion by associating their religious items with explosives and implying violent consequences for religious figures.",,
52079,img/52079.png,0,just bought a house! now we're house-poor,0.01,0,non-hateful,"The meme depicts a couple celebrating buying a house and jokes about being 'house-poor' due to the financial burden. It does not target any protected group based on race, religion, gender, or other characteristics, nor does it contain any attacks or dehumanizing language.",,
9467,img/09467.png,1,when mom asks where all the jews went,0.99,1,hateful,"The meme uses imagery of Nazi leaders and the question 'where all the jews went' to make light of the Holocaust, treating the genocide of Jewish people as a joke.",,
84756,img/84756.png,1,when you ask the kid that misses class a lot why he is bald and he starts crying all right. then keep vour secrets,0.9,1,hateful,"The meme uses a joke about a child being bald to mock physical appearance or potential medical conditions (like alopecia or chemotherapy side effects), which aligns with the definition of mocking based on disease or disability.",,
38914,img/38914.png,0,cotton candy is what makes the theme park wonderful,0.0,0,non-hateful,"The image shows a child enjoying cotton candy at a theme park with positive text. There are no attacks on protected groups, nor does it invoke hate speech or dehumanization.",,
