id,img,label_true,text,prob_pred,label_pred,classification,description,modality_type,error
57823,img/57823.png,0,"bitches be like no weave, no makeup, no lashes, no eyebrows & no filter. all natural",0.85,1,hateful,The meme uses the slur 'bitches' to mock women who present themselves naturally without makeup or filters. This targets a group based on sex/gender with dehumanizing language and a statement of inferiority regarding their presentation.,,
80947,img/80947.png,1,my new muslim girlfriend not much to look at,0.9,1,hateful,"The meme depicts a large object covered in black cloth as a 'Muslim girlfriend' and adds the text 'not much to look at'. This conveys a hateful message by dehumanizing women of the Muslim faith, treating them as objects to be covered rather than seen or valued, and reinforcing negative stereotypes regarding Muslim modesty.",,
30145,img/30145.png,0,"before my presidency, there was no isis. there was no caliphate there was no blm. there was no antifa. there was no war on police i built that",0.95,1,hateful,"The meme attributes the existence of ISIS, the Caliphate, BLM, Antifa, and a 'war on police' to Barack Obama's presidency. It falsely claims that Black Lives Matter and Antifa were founded by or during the Obama administration (BLM was founded in 2013, Antifa dates back much earlier), thereby scapegoating a person of color for social unrest and terrorist organizations. This constitutes a hateful attack by spreading misinformation that demonizes the target and associates them with violence and social division.",,
80243,img/80243.png,1,mississippi wind chime,1.0,1,hateful,"The meme uses the phrase 'mississippi wind chime' to refer to the lynching of Black people, a form of racial terrorism. It trivializes racial murder and uses violence against African Americans as dark humor.",,
3217,img/03217.png,0,"they are like sperm you get millions, but only one works",0.01,0,non-hateful,"The meme compares ideas to sperm, a biological function, to illustrate that many are generated but few succeed. It does not target any protected group based on ethnicity, race, religion, gender, or other characteristics. The text is crude but not hateful.",,
9715,img/09715.png,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,0.9,1,hateful,"The meme suggests that religious leaders are being harmed by landmines disguised as religious items, promoting the idea that followers of a specific faith are deserving of violence or deception based on their religious practices.",,
52079,img/52079.png,0,just bought a house! now we're house-poor,0.0,0,non-hateful,"The meme depicts a happy couple celebrating buying a house, with text making a joke about being 'house-poor' (financially drained by the purchase). There is no attack on any protected group, nor does it contain dehumanizing language or stereotypes.",,
9467,img/09467.png,1,when mom asks where all the jews went,1.0,1,hateful,"The meme uses the phrase 'where all the jews went' to reference the Holocaust, trivializing the genocide of Jewish people as a joke.",,
84756,img/84756.png,1,when you ask the kid that misses class a lot why he is bald and he starts crying all right. then keep vour secrets,0.9,1,hateful,"The meme mocks a child's appearance (baldness), implying a serious medical condition like cancer as a punchline for a joke. This targets an individual based on their disease or medical status, which falls under the definition of hate speech provided.",,
38914,img/38914.png,0,cotton candy is what makes the theme park wonderful,0.99,1,non-hateful,"The meme depicts a young boy enjoying cotton candy with a positive caption about theme parks. It does not contain any attacks, stereotypes, or mockery based on ethnicity, race, religion, disease, or other protected characteristics.",,
50198,img/50198.png,0,you don't need cocaine to be happy,0.95,1,hateful,"The meme juxtaposes an image of cocaine with a person with Down syndrome and the text 'you don't need cocaine to be happy'. This creates an offensive implication that the individual is a source of amusement or 'highs' due to their disability, mocking their condition for comedic effect.",,
78612,img/78612.png,0,go see fifty shades darker in theaters alone and throw mayonnaise at couples in the dark,0.9,1,hateful,"The meme targets 'couples,' which can include individuals of various sexual orientations, by suggesting a violent act (throwing mayonnaise) specifically at them in a dark setting. This constitutes a call for harassment and violence against a group of people, fitting the definition of a hateful attack.",,
54206,img/54206.png,0,you can smell disgust and hate from this photo,0.95,1,hateful,"The meme utilizes an image of a historical lynch mob and explicitly references 'hate' in the caption. This invokes the pain and horror of racial terrorism and historical violence against Black people for comedic effect, fitting the definition of evoking pain from historical figures and mocking hate crimes.",,
65403,img/65403.png,1,money is evil give it to us,0.8,1,hateful,"The meme uses the image of Pope Benedict XVI and clergy along with the text 'money is evil give it to us' to satirically mock the Catholic Church, implying hypocrisy and greed regarding financial donations. This constitutes an attack on a religious group by mocking them and attributing negative traits.",,
86170,img/86170.png,1,how to keep the thefts out,1.0,1,hateful,"The image depicts members of the Ku Klux Klan, a hate group known for racial terrorism. The text 'how to keep the thefts out' utilizes a racist dog whistle, implying that Black people are inherently thieves and should be kept away by the Klan.",,
37420,img/37420.png,0,like lebanon terrorism can destroy a beautiful country,0.95,1,hateful,"The meme creates a hateful generalization by equating the entire nation of Lebanon with 'terrorism' and claims this negative stereotype is capable of destroying the country, attacking people based on nationality.",,
85237,img/85237.png,0,these are all the weapons that were seized from isis,0.1,0,non-hateful,"The meme implies that ISIS possesses only outdated and obsolete weaponry, mocking the group's military capabilities. This targets the group based on a negative stereotype rather than attacking a protected characteristic like race, religion, or ethnicity. It does not incite violence or hatred against individuals.",,
83264,img/83264.png,1,randomly deciding to bake something,0.9,1,hateful,"The meme uses a photoshopped image of Adolf Hitler, a figure responsible for the Holocaust and systematic genocide of Jewish people and others. By associating him with a trivial, harmless activity ('randomly deciding to bake something'), the meme trivializes his role in historical atrocities, which constitutes an attack by evoking pain from historical figures associated with mass murder.",,
6582,img/06582.png,1,they are terrorists anyone who doesn't agree is an idiot,1.0,1,hateful,"The meme explicitly equates an entire religious group with terrorism and calls anyone who disagrees an idiot, constituting a direct stereotype-based attack on religion.",,
13026,img/13026.png,1,under the name of multiculturalism we let terrorist into this country,1.0,1,hateful,"The meme targets a specific religious group by using stereotypical imagery (a woman in a hijab) and explicitly labels them as 'terrorists' brought into the country. This constitutes a direct attack based on religion and nationality, equating the group with violence.",,
59206,img/59206.png,0,traveling through chimney,0.01,0,non-hateful,"The meme humorously contrasts Santa's chimney entry with a street parade, containing no hate speech or attacks on protected groups.",,
63827,img/63827.png,1,teacher of the year for black community,1.0,1,hateful,"The meme juxtaposes a hanging noose—a symbol of lynching and racial terror against Black people—with the phrase 'teacher of the year for black community.' This implies that the appropriate 'award' or fate for a Black community member is death by hanging, which constitutes a violent attack and dehumanization based on race.",,
13809,img/13809.png,1,doing o's with the smoke,0.98,1,hateful,"The image depicts a crematorium, identifiable by its industrial structure and chimney, which is strongly associated with Nazi death camps and the Holocaust. The text 'doing o's with the smoke' uses 'O's' as a slang reference to oral sex, implying sexual activity involving the smoke rising from the crematorium. This combines sexual vulgarity with the site of mass genocide, trivializing the deaths of millions and mocking the victims of the Holocaust.",,
98543,img/98543.png,1,upper downer,0.95,1,hateful,"The meme juxtaposes lines of cocaine with a smiling man with Down syndrome, using the terms 'upper' and 'downer' to imply that people with Down syndrome are inherently sad, miserable, or a 'downer' in the context of party drugs. This constitutes dehumanizing speech and a statement of inferiority based on a disability.",,
17028,img/17028.png,1,"feeling bored, let's go to a mosque",0.95,1,hateful,The meme juxtaposes boredom with a firearm and a suggestion to attack a mosque. This implies that violence against Muslim places of worship is an acceptable or humorous solution to boredom. It constitutes a hateful attack on a religious group by advocating for violence and dehumanizing a religious site as a mere recreational target.,,
91756,img/91756.png,1,abnormal vs normal,0.9,1,hateful,"The meme juxtaposes a woman wearing a hijab with the text 'abnormal vs normal', implying that wearing religious headscarves is an abnormality compared to the 'normal' state. This constitutes a statement of inferiority and exclusion based on religion.",,
3567,img/03567.png,1,potato is my favorite color of the alphabet,0.01,0,non-hateful,The meme uses a nonsensical phrase and is a humorous statement of absurdity; it does not target any protected group or characteristics.,,
12045,img/12045.png,0,learn to hunt. it's a valuable skill,0.0,0,non-hateful,"The image depicts a young person hunting with a shotgun and the text encourages learning to hunt as a 'valuable skill'. This represents a promotion of a hobby or activity and does not contain any attacks, dehumanization, or discrimination against a protected group.",,
53046,img/53046.png,1,"you've heard of elf on a shelf, now get ready for",0.01,0,non-hateful,"The meme features a family posing with Winnie the Pooh and Tigger characters, with playful text referencing the idiom 'elf on the shelf'. There is no hateful content, stereotypes, or attacks directed at any individuals or groups.",,
52394,img/52394.png,0,i forgot what are we fighting over again?,0.6,1,hateful,"The image depicts a violent riot with bloodshed and physical altercations. The text trivializes this violence and the conflict causing it by turning it into a joke about forgetfulness, which falls under evoking pain or making light of violent events.",,
63175,img/63175.png,0,"if i was uncircumcised i'd hide candy in my dick skin so when a girl about to suck me up, she has a pleasant surprise.. oh my god, skittles",0.0,0,non-hateful,"The meme discusses a sexual fantasy involving a specific anatomical condition (circumcision status). It does not target a protected group based on ethnicity, religion, gender, etc., nor does it promote violence, dehumanization, or inferiority.",,
62970,img/62970.png,0,if you want to know how they were treated illustration of man with four slaves chained together,0.92,1,hateful,"The meme juxtaposes a historical illustration of enslaved people with text that encourages the viewer to imagine their suffering. By presenting slavery—a dehumanizing historical crime—as a premise for a thought experiment, it trivializes the pain of enslaved people and mocks the historical reality of slavery, which constitutes a hateful attack based on race.",,
45062,img/45062.png,0,me and my kids are going to rob this country blind at the expense of the very people that voted for me. and they're going to love it. believe me! bigly!,0.0,0,non-hateful,"The meme depicts Donald Trump making a statement about exploiting his supporters ('voted for me'), but it does not attack any group based on characteristics such as race, religion, nationality, or disability. The text describes a specific political grievance regarding 'kids' and voters, which does not meet the definition of hate speech.",,
18356,img/18356.png,0,i took a shower this morning,0.8,1,hateful,"The meme references Benito Mussolini, a leader of the National Fascist Party and architect of genocide in Ethiopia and Libya, along with the Holocaust in Yugoslavia. The phrase 'i took a shower this morning' is a common internet joke format implying the subject was previously perceived as 'dirty' or 'unclean.' By associating Mussolini with hygiene issues, the meme trivializes a mass murderer and Nazi collaborator, evoking pain from historical atrocities and mocking the historical figure's regime.",,
62375,img/62375.png,1,im not saying i'm racist im just saying all muslims are terrorists,1.0,1,hateful,"The text directly equates an entire religious group with terrorism, presenting a harmful stereotype and generalization that attacks Muslims based on their religion.",,
32579,img/32579.png,0,come to the dark side we have weed,0.01,0,non-hateful,"The meme depicts a celebrity (Snoop Dogg) standing with Star Wars characters (Darth Vader and Stormtroopers) associated with the 'dark side'. The text 'come to the dark side we have weed' makes a humorous pun associating the 'dark side' with marijuana. There are no attacks on individuals or groups based on protected characteristics such as race, religion, or disability. The content is purely pop-culture humor.",,
1742,img/01742.png,0,in just one hour from now i'll only have 4 hours left until i have to work a mere 3 hours,0.01,0,non-hateful,"The meme uses hyperbole to express the monotony of a work schedule. It does not attack or target any protected group based on characteristics such as race, religion, or gender.",,
69815,img/69815.png,1,thank you for allowing me into your country now we need to talk about the things that need to change around here to accommodate my beliefs,0.95,1,hateful,"The meme utilizes the 'Muslim Guy' meme format, which relies on negative stereotypes of Muslim men as ungrateful, dangerous, or demanding. The text constructs a caricature of an immigrant who feels entitled to demand changes to host country laws based on their religious beliefs, portraying the group as an unwanted burden.",,
7198,img/07198.png,1,islam is a religion of peace stop criticizing my religion,0.95,1,hateful,The meme juxtaposes the phrase 'islam is a religion of peace' with an image of a man surrounded by weapons. This visual association is used to mock the claim of peacefulness and reinforces the hateful stereotype that equates Muslims or Islam with violence and terrorism.,,
83675,img/83675.png,0,i'm gonna be like phelps one day,0.0,0,non-hateful,"The meme features a young black swimmer with text stating they will be like Michael Phelps one day. This is an expression of aspiration and admiration for a successful athlete, with no hateful elements targeting protected characteristics.",,
95604,img/95604.png,1,"they want to be accepted for who they are, yet theren't able to accept themselves for who they are",0.0,0,non-hateful,"The meme features a drag queen and includes text expressing a sentiment about self-acceptance regarding one's identity. It does not contain attacks, dehumanizing speech, or statements of inferiority directed at any protected group based on the provided definition.",,
61085,img/61085.png,0,upper downer,0.99,1,hateful,"The meme compares a person using drugs (stereotyped as an 'upper') to someone taking Vicks NyQuil (labeled a 'downer'). It mocks the person taking the over-the-counter medication by equating them to a drug addict, which constitutes a dehumanizing attack and implies inferiority.",,
19385,img/19385.png,0,rose's are red violet's are blue little stupid ass bitch i ain't fuckin witchu,0.95,1,hateful,"The text uses dehumanizing language and slurs ('little stupid ass bitch') directed at a person. This constitutes a statement of inferiority and is a direct verbal attack, fitting the definition of hate speech.",,
8291,img/08291.png,1,white people is this a shooting range,0.99,1,hateful,"The meme features the text 'white people is this a shooting range' overlaid on an image of Black children. This implies a stereotype associating Black individuals with gun violence or the need for a 'shooting range', which is a dehumanizing racial slur and attack.",,
24316,img/24316.png,1,sharks don't attack him why? they think it's whale shit,0.99,1,hateful,"The meme uses a dehumanizing racial slur to refer to a Black person's appearance, characterizing their skin color as excrement. This constitutes a hateful attack based on race by reducing the subject's identity to an insulting and derogatory comparison.",,
2157,img/02157.png,1,"mohammed i'm pregnant.... don't sass me, you know it's funny! ~cupcakes",0.98,1,hateful,"The meme targets the Prophet Mohammed, a central religious figure, by attributing a biologically impossible claim to him in a mocking manner. This constitutes a dehumanizing and disrespectful attack on his person and religion.",,
43698,img/43698.png,0,don't be late for work get the protestor plow,0.98,1,hateful,The meme encourages violence against protesters by suggesting the use of a vehicle to hit them.,,
75286,img/75286.png,1,look at this sandwich maker club i found on wish on clearance,0.85,1,hateful,"The meme uses the phrase 'sandwich maker club' as a double entendre, a common internet joke referring to a specific sexual act involving women's bodies. This targets individuals based on their sex and reduces them to an object of a sexual stereotype.",,
21567,img/21567.png,1,our dad is a potato farmer,0.99,1,hateful,"The meme features two individuals with Down syndrome, identifiable by their physical characteristics. The caption 'our dad is a potato farmer' uses a derogatory stereotype equating people with intellectual disabilities to 'potatoes', a common dehumanizing insult. This constitutes a direct attack based on disability.",,
32691,img/32691.png,1,this is how muslims celebrate new year,1.0,1,hateful,"The meme juxtaposes an image of the September 11 attacks with the text 'this is how muslims celebrate new year', falsely attributing a terrorist attack to Muslims as a religious tradition. This is a direct attack on Muslims based on religion, dehumanizing them and invoking the pain of a mass-casualty event.",,
19075,img/19075.png,0,when you smell cake,0.95,1,non-hateful,"The meme uses the image of a long nose to symbolize lying, combined with the text 'when you smell cake'. This is a humorous play on the idea that people cannot resist cake and might lie about it, similar to Pinocchio's nose growing when lying. It does not target any protected group based on characteristics like race, gender, or religion, nor does it involve dehumanizing speech or attacks.",,
68127,img/68127.png,0,all you guys think about is dope,0.01,0,non-hateful,"The meme depicts a stereotype of a 'dweeb' or socially awkward male character, likely derived from the 'dumb blonde' meme format. It makes a broad generalization about the thoughts of a specific group of people ('you guys'). However, it does not attack a protected group based on characteristics such as ethnicity, race, religion, gender, or disability. It is a pop-culture stereotype or a 'cringe' humor image rather than hate speech.",,
84107,img/84107.png,0,i ordered a dishwasher and they sent me a sandwich maker,0.0,0,non-hateful,"The meme depicts a humorous situation where a customer received the wrong product (a sandwich maker instead of a dishwasher). It contains no attacks, stereotypes, or offensive language targeting any protected group or characteristic.",,
2568,img/02568.png,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,0.95,1,hateful,"The meme employs a racial stereotype suggesting that the subject is so prejudiced he confuses the word 'heroin' with the N-word, implying he would shoot Black people. This constitutes a direct attack based on race.",,
2634,img/02634.png,1,and just like that... this sandwich maker doubles as an ironing board,0.0,0,non-hateful,"The meme features a woman lying on a lawn with text comparing a sandwich maker to an ironing board, which is a humorous reference to the heat of the appliance or the sun. It does not contain any attacks, stereotypes, or derogatory language targeting protected groups such as race, religion, gender, or disability.",,
39827,img/39827.png,1,kick them out of country,0.95,1,hateful,"The text 'kick them out of country' is a direct call for the exclusion of a group based on nationality or immigration status, fitting the definition of hate speech.",,
1925,img/01925.png,1,i am not racist i just don't like brown sugar,0.95,1,hateful,"The meme uses a play on words where the speaker claims not to be racist but expresses a dislike for 'brown sugar'. This serves as a dog whistle to express prejudice against people with brown skin (people of color), utilizing a common internet trope to mask racist sentiment as humor.",,
97132,img/97132.png,0,in the muslim world all gay men are well hung,0.98,1,hateful,The meme generalizes and stereotypes individuals based on their religion and sexual orientation by attributing a specific physical characteristic to all gay men in the Muslim world.,,
35719,img/35719.png,0,jamal is practicing for class sport,0.99,1,non-hateful,"The image depicts a young boy playing soccer and the text states 'jamal is practicing for class sport'. There is no content in the image or text that attacks, mocks, or dehumanizes anyone based on protected characteristics such as race, religion, or disability.",,
5279,img/05279.png,1,"knowing white people , that's probably the baby father",0.95,1,hateful,"The meme makes a stereotypical joke implying that a pregnant woman's partner is a horse, which serves as a dog-whistle attack on people of color, specifically Black people. It invokes a harmful and racist trope used to dehumanize and mock Black women.",,
48296,img/48296.png,1,when you date an asian boy and you trynna get his family to accept you,0.85,1,hateful,"The meme implies that Asian families are difficult, traditional, or exclusionary, requiring the partner to undergo a significant trial to win their approval. This promotes a negative, xenophobic stereotype targeting a specific racial and ethnic group.",,
67208,img/67208.png,0,does nike also sell stones in case they take it off?,0.0,0,non-hateful,"The meme makes a joke about the Nike 'Air' branding by asking if they sell stones for when the shoes are removed. This is a pun on the product name and does not target any protected group based on characteristics such as race, religion, gender, or disability.",,
30586,img/30586.png,0,just can't get rid of the stain. this is why i hate beets,0.01,0,non-hateful,"The meme expresses frustration with beets causing stains while washing dishes. This is a humorous complaint about a food item and household chores, lacking any attack on individuals or groups based on protected characteristics.",,
41728,img/41728.png,0,i believe they are like racism. just shouldn't exist,0.99,1,hateful,"The meme contains text explicitly calling for the non-existence of a group associated with the imagery (ISIS flag and armed militants). This constitutes a call for exclusion or segregation based on religion or ideology, which falls under the definition of hateful speech.",,
63987,img/63987.png,0,the migrant caravan arrives!,0.99,1,hateful,"The meme portrays a man physically assaulting a woman and child in the midst of a crowd of refugees, with the caption 'the migrant caravan arrives!'. This combines an image of violence and dehumanization with text that specifically targets a group based on their immigration status. The implication that migrants are dangerous aggressors constitutes a hateful attack based on immigration status.",,
