id,img,label_true,text,prob_pred,label_pred,classification,description,modality_type,error
57823,img/57823.png,0,"bitches be like no weave, no makeup, no lashes, no eyebrows & no filter. all natural",0.1,0,non-hateful,"The meme uses the term 'bitches' and critiques the behavior of women claiming to be 'all natural' while likely using beauty enhancements. While the language is vulgar and the sentiment is derogatory towards a gender group, it functions as a critique of perceived hypocrisy and vanity rather than an attack on women as a protected class. It does not dehumanize, threaten, or call for exclusion, nor does it attack based on intrinsic characteristics.",,
80947,img/80947.png,1,my new muslim girlfriend not much to look at,0.9,1,hateful,"The meme compares a 'Muslim girlfriend' to a large black plastic bag covered in an opaque tarp. This relies on and reinforces the harmful stereotype that Muslim women are entirely covered or faceless, dehumanizing the subject by reducing her to a shapeless object. The phrase 'not much to look at' disparages the individual based on their religious dress or identity.",,
30145,img/30145.png,0,"before my presidency, there was no isis. there was no caliphate there was no blm. there was no antifa. there was no war on police i built that",0.15,0,non-hateful,"The meme uses the 'I built that' format to satirically accuse a political figure of creating various geopolitical organizations and domestic social movements. While the text mentions groups like BLM and Antifa, the content consists of political commentary and satire rather than direct attacks, dehumanizing speech, or calls for violence or segregation against a protected group based on identity.",,
80243,img/80243.png,1,mississippi wind chime,1.0,1,hateful,"The meme juxtaposes a historical image of a lynching with the phrase 'mississippi wind chime,' which is a known antisemitic dog whistle used to equate Jewish people with lynching victims. This content trivializes racial terror and uses dehumanizing language to attack Jewish people.",,
3217,img/03217.png,0,"they are like sperm you get millions, but only one works",0.02,0,non-hateful,"The meme uses a crude biological comparison involving sperm to describe the abundance of ideas versus the scarcity of success. While the content is vulgar and the system labeled it as offensive, it does not attack, dehumanize, or threaten any individual or group based on protected characteristics such as race, religion, or sexual orientation. The humor targets the abstract concept of brainstorming rather than a specific person or demographic.",,
9715,img/09715.png,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,1.0,1,hateful,"The meme contains text that explicitly describes selling landmines disguised as prayer mats, a practice associated with Muslim religious rituals. This constitutes a direct call for violence and physical harm against adherents of a specific religion. It attacks a protected group based on religion by framing their worship tools as delivery mechanisms for lethal weapons.",,
52079,img/52079.png,0,just bought a house! now we're house-poor,0.01,0,non-hateful,"The meme is a humorous commentary on the financial consequences of buying a home, depicting a happy couple. It does not attack or target any protected groups based on the definition of hate speech.",,
9467,img/09467.png,1,when mom asks where all the jews went,0.99,1,hateful,"The meme features Adolf Hitler and Benito Mussolini and poses the question 'where all the jews went', making light of the Holocaust. By using the leaders responsible for the genocide and asking where the victims went, the content trivializes and mocks the systematic extermination of Jewish people, constituting a hateful attack based on religion and ethnicity.",,
84756,img/84756.png,1,when you ask the kid that misses class a lot why he is bald and he starts crying all right. then keep vour secrets,0.01,0,non-hateful,"The meme uses sarcasm to make a joke about a student who misses class and is bald, utilizing a popular pop culture image. While it is slightly mocking regarding school attendance and physical appearance, it does not target a protected group based on race, religion, disability, or other protected characteristics defined in the hatefulness policy.",,
38914,img/38914.png,0,cotton candy is what makes the theme park wonderful,0.01,0,non-hateful,"The meme features a positive image of a child enjoying cotton candy at a theme park with text expressing a joyful opinion about theme parks. There is no language or imagery that attacks, dehumanizes, or targets any protected group.",,
