id,img,label_true,text,prob_pred,label_pred,classification,description,modality_type,error
57823,img/57823.png,0,"bitches be like no weave, no makeup, no lashes, no eyebrows & no filter. all natural",0.05,0,non-hateful,"The meme uses the derogatory slur 'bitches' as a general pejorative to mock women for being 'natural' without makeup or hair extensions. While the language is vulgar and offensive, it constitutes general misogyny or rude mockery rather than a hate speech attack based on protected characteristics such as race, religion, or ethnicity, which is required for a hateful classification under the provided definition.",,
80947,img/80947.png,1,my new muslim girlfriend not much to look at,0.95,1,hateful,"The meme uses a visual metaphor comparing a covered person in a niqab to a trash bag, implying that a Muslim woman is 'garbage' or worthless. This constitutes dehumanizing speech and a statement of inferiority based on religion.",,
30145,img/30145.png,0,"before my presidency, there was no isis. there was no caliphate there was no blm. there was no antifa. there was no war on police i built that",0.98,1,non-hateful,"The meme uses sarcasm to criticize the political impact of the person depicted by attributing the rise of specific organizations and social movements to them. While the content expresses a strong political opinion and is critical in nature, it does not attack individuals based on protected characteristics such as race, ethnicity, religion, or sexual orientation, nor does it promote violence or dehumanization against a protected group.",,
80243,img/80243.png,1,mississippi wind chime,0.98,1,hateful,"The meme juxtaposes a historical photo of a lynching in Mississippi with the text 'wind chime', making a dark and offensive joke that trivializes racial terror and the violent murder of Black Americans. By comparing lynching victims to a household object, it dehumanizes the victims and mocks a specific form of racial violence.",,
3217,img/03217.png,0,"they are like sperm you get millions, but only one works",0.01,0,non-hateful,"The meme uses crude humor comparing 'ideas' to 'sperm' to make a point about creativity and the quantity vs. quality of thoughts. While vulgar and offensive due to the biological comparison, it does not attack, dehumanize, or target any individual or group based on protected characteristics such as race, religion, gender, or sexual orientation.",,
9715,img/09715.png,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,0.01,0,non-hateful,"The meme features a dog making a silly face with a humorous caption about a fraudulent business selling landmines disguised as prayer mats, stating that prophets are 'going through the roof.' This is an example of 'doge' style absurd humor and does not contain attacks, dehumanization, or threats against any protected group based on religion or otherwise.",,
52079,img/52079.png,0,just bought a house! now we're house-poor,0.0,0,non-hateful,"The meme depicts a couple celebrating the purchase of a home and making a self-deprecating joke about being financially strapped. There is no attack, dehumanization, or exclusion based on protected characteristics.",,
9467,img/09467.png,1,when mom asks where all the jews went,1.0,1,hateful,"The meme utilizes a visual juxtaposition of Adolf Hitler and Benito Mussolini with text referencing the disappearance of Jewish people. This implies the Holocaust and the systematic genocide of Jews, serving to mock and endorse the mass murder of a specific religious and ethnic group.",,
84756,img/84756.png,1,when you ask the kid that misses class a lot why he is bald and he starts crying all right. then keep vour secrets,0.02,0,non-hateful,"The meme features a humorous scenario involving a person's physical appearance (baldness) and their reaction to being teased. While it involves mockery, baldness is a physical characteristic, not a protected group status like race, religion, or disability. Therefore, it does not meet the criteria for hate speech.",,
38914,img/38914.png,0,cotton candy is what makes the theme park wonderful,0.01,0,non-hateful,"The meme depicts a child enjoying cotton candy with text praising the experience as wonderful. There is no text or imagery that attacks, dehumanizes, threatens, or excludes any group based on protected characteristics.",,
